u,v,d
65307709,65325928,5814.5622145262305
5749076231,65360797,11211.938162727223
65311865,258973945,210.33468766612265
65351094,65297210,3724.259186405366
65361006,65315046,4667.886686812987
65292809,65357001,12039.011802008483
65300348,65349383,7623.344617165576
65304936,767859198,8828.001115451281
4038272414,260117854,5844.008148294878
65309270,65325594,11559.985500385865
65286153,65314546,7771.147417767351
293741891,554160781,10027.587601524114
65349054,258973955,4429.90129740903
65336222,65319030,6000.847395151134
65335774,65319536,6625.5974523237865
65360912,65319565,6518.294829779226
65299842,440316410,5948.631423167124
65299078,2609017309,5842.826938762703
65364788,4008988553,4290.460305370873
5437876987,65341696,4228.273429919214
33241803,4069107534,15125.40614881682
6329528602,65297588,7163.05248248047
65304898,65320025,3512.1631385435
65303561,65303941,4976.428387490633
65323586,65326364,6869.579755774598
65344090,65365464,10844.82630779223
65324775,258958633,5557.950064187681
2072465118,258967873,5177.194115334422
315424842,65320869,inf
65299424,9691602692,1146.4195687949211
280836272,1723738852,4695.380801897388
65296852,65314903,8789.942411323893
65306163,2248769212,5616.388836288167
65288293,65306390,5323.927320231003
65333898,65288332,11611.102319501844
65318493,65326036,8679.067488017014
65332720,65347583,7875.899166145948
10251824554,65323277,10307.25056330353
65307550,65299831,7856.881986035874
65291428,65322435,13545.780037260496
65307880,65283528,4274.321979689488
4357170829,65290947,2673.135961339708
65303998,65336827,10447.808013578193
351089384,65280134,6551.558149758814
65312158,258759756,2599.2903334289686
65304065,315429861,3666.4802424933837
9691602674,65336170,9425.379230809429
2477163304,65325864,1758.0561430198973
65302309,65279895,2281.897360962426
65287273,65318183,12559.957404909432
258967893,1594227876,6672.450254564292
65342580,65333318,10379.876839372479
4035920529,6923676856,10871.584090203734
590658137,65345235,6267.724442310839
65296815,65295375,4005.3093626017717
65338254,65317799,6822.137924367083
65299761,5826707783,11925.290571772442
65288970,65329071,4091.2193084095284
65289825,4035920618,5028.95803533822
65317967,315424559,10306.606944261777
65307721,258758534,7810.884753498093
4008988541,4035862307,8551.33886758966
65362705,65322025,2531.4366053859903
258964492,65339656,4375.695526500227
4002307885,5863003876,8501.643569976019
65318392,4044919945,8627.821287463477
65312685,1563110114,5688.235332589147
65324846,65302189,630.9460359688871
65371963,258967896,14738.964075792881
65280134,315091205,4470.949528022264
4944451809,65295485,11441.7377612791
6917093881,258964839,2190.68552928454
65349577,65290238,2049.7032804543887
6353362209,65334913,8950.401025030633
65296088,65296374,7321.629942712715
267455448,386842492,6536.1146459391275
65364192,65341968,6008.124934283198
65324769,65283620,10485.788484513163
65316382,65352231,2116.7634695742654
65359121,612730167,1148.7103417183082
8076008490,65357230,9243.177170273411
65344165,65292350,8181.793931649234
65302379,65297402,8164.591600813929
5901528195,65366259,2866.6343195162185
65307479,65293503,7480.730908819667
5102833141,65297126,5082.998175407547
65360512,65322724,2798.3700390953836
65357329,65295284,10792.172900630198
4023103673,65322187,6247.496278161863
65312638,65301522,5433.351789865036
9602564588,65326358,7539.5013881568
65329299,65328349,7763.455880303288
65314578,6392167820,1503.9473644749469
65287458,65320171,6433.265291940687
65336596,65329990,9388.31592254581
174643927,65290098,6975.67500359807
65319063,258967880,4898.493894786482
65329943,65337426,5206.507191292066
65296970,1607089652,484.837003995851
258910929,65363511,10334.42077523008
65304994,65306712,7488.2037542403905
65295901,258964134,1194.1079388894632
65304379,5277046213,7109.6383873047125
65349387,65289364,8556.2205364499
65335301,65326356,2956.8485832553392
65354451,12195577860,9892.903011252289
258967879,265689222,2164.809127235562
65288970,65318986,4255.61109408233
65303556,65292463,6441.05914258021
4021550370,1580501212,5234.288902646916
65361396,2317999441,7841.9019780727285
65315830,65320132,8408.825836613632
65301476,65280094,10675.167678619315
65293660,4022970350,8346.25819541192
11063934687,65288819,10453.739458473214
65358372,65291758,5222.196866431927
65306174,65315846,6363.876113934912
258914480,65302199,7646.661470267786
65304144,2487283194,5895.42375843334
2607301928,597367424,4106.957934486351
65283717,6353342936,8349.403853548023
65282840,276546819,8616.778818848843
65314447,65343655,11967.528673119763
3718959234,4037489080,7913.6332555192375
65317363,65285017,8108.746833998756
6347985788,258912609,4320.964555485568
65359479,5634834335,14699.143891146983
6386806910,313867822,9511.079631994939
65334829,65355451,2500.1718186011985
293578740,1202332578,12276.69990704916
4022941215,65332311,8748.301670817533
65309093,65287878,7769.82886149358
65363410,65336529,4397.422628900186
65363251,5634834942,7682.355084262817
65304300,65322435,3691.997621302977
297857223,9409465859,5988.622380004608
65287776,65316669,2978.5718357901287
65298584,2317961406,2415.8919040735273
11037467465,65307109,337.5891904903458
65311865,1378125423,1414.4179798865525
65297241,65350551,13685.971500110358
65325618,65333187,6763.573179478394
258973958,65318392,5683.166826885817
9691602619,258910939,6581.718674595732
311436362,65352990,15941.660526492988
65307543,9691602660,10545.953802763259
65294265,4348279435,4206.525265957008
5634834943,65295867,6594.927953918926
65318052,65291184,5692.569514084408
65327046,1378125423,8411.553537350039
65359194,65324940,1939.2339796490671
65340921,2548141872,7758.764497488489
65324772,65313357,6404.511771468561
10862747780,1196875324,8110.23153626902
65292463,65288864,3502.206899013388
258755839,258912666,5821.399833600037
65298417,65299810,3247.6113018714473
5610843322,65343101,11292.43188568273
260193155,65316034,8254.387766976603
6336978435,1718846184,6858.027208810694
12482474324,13036886711,4669.43018265909
65306133,8864754195,4753.793758536005
295186777,65332176,5659.71724381598
5634222094,65336248,9719.610780275267
65362314,65306226,8237.204025063602
12952646361,65298844,11025.880409820573
65280905,65351347,8811.96749740034
65287932,65302174,3424.2802522907236
65360784,11337065958,1109.1733317104342
65284851,4023078325,9676.387349211192
65303640,5826312317,5789.114322604623
65298909,65288347,7352.9388658582175
65340082,65295740,6883.133667084868
65358331,65339305,3717.4284927980366
65330024,65356407,5858.939463031476
65288829,4035862307,6681.677459102923
65316561,65349366,13518.469327990435
258912594,65288122,6588.820048505471
313880650,65283935,6262.360032824759
2983686934,9868733377,12068.874951125932
65287254,65289854,4784.298192495704
65303171,65288289,9819.32349435206
837099790,2320396530,9210.441071072753
259139939,65288347,11843.088917568468
4021327362,65302379,10852.007593671615
260300236,65336868,10054.845769197218
65309559,65341614,4163.025388295106
65356861,5839244979,9412.2092863432
65369824,4064695371,6426.992932932311
4034372254,1271001343,11263.715636904897
65375081,2456072718,14788.7005882386
65327512,65334572,5566.297617660382
4021607643,65360819,7082.224656876534
12195577871,65307930,5799.835572541969
2317635432,258972866,2986.825739163456
65318098,65355413,5551.958192842991
65316139,65350987,5018.5119200752915
65296340,65299488,2090.2221020239754
295187181,65334903,8861.099212986683
1735998435,65333997,10394.902656447834
65305725,65342672,6081.838815850398
65348431,3526821457,7211.576022606154
65322499,65360563,6919.892207896984
65295449,9691602770,5457.702151018733
65291345,65352351,4760.640198169329
65306847,316735471,4310.292890356425
65342679,65329940,9011.547128276408
65290299,65355481,2226.8010018337754
12513730815,65321240,5087.11385043211
65292203,65298898,2980.9271549763375
65330711,258911611,8917.971044046817
8170614555,65355066,4669.647789648767
65313549,11397069573,3766.105883266442
65293777,65317680,2112.8946979397583
1501114908,65337266,7256.240623617055
65308343,2630856848,8730.150600049803
65308532,725284752,5892.056263724466
65342548,65351748,6020.572397141707
65304460,13187897044,6603.607556222081
1792772981,258756009,5213.420618357692
65363176,65295422,5237.421418397363
65290786,6681985734,5344.6976730781
258911621,65350553,6286.076150653073
65327905,11518537250,4331.760272272091
258910901,65329835,8152.668574944556
65316061,65301514,4781.649149784155
65319641,2487283194,7753.328341260095
4012499530,65296364,4098.437447641699
298082887,65319966,1769.7737556624738
65280694,65313133,7657.798242634185
1378125354,65323738,1743.492281696897
65310132,542900782,7009.314538301654
65309828,65339607,8505.773996277148
258964495,4017523978,13300.464976010884
65335648,636389103,5414.569797593279
1996007301,9602564586,4227.762899715078
65299327,65289340,6328.506854595169
279698136,65353284,5140.280243690224
302034432,65327958,5440.226976671827
65308534,258969415,6295.593770148178
65300986,8573705918,5347.240835493842
65364763,65316813,7715.736865295069
355787265,65336580,3400.582005523545
65354542,65309040,2126.6619848748064
65294790,65321830,3701.4399192979286
65300568,65317769,5682.971158485156
258910908,259138840,2319.7140461582944
2304626320,65346036,2379.5363414437547
4022970339,1386837960,16386.95152852429
4035890906,65295714,2642.222658311829
65287209,65285911,5976.812078120917
65331336,65339584,8808.223398706783
65292178,65284748,2754.2993622337826
768433617,65298373,8035.9780067583515
65335612,65344021,11852.953654374747
65352457,612729669,10505.088329431532
65282392,65287298,5052.896921735254
65296771,6392167814,5370.936752997501
65333101,9633222553,8725.01707272559
260336124,65358302,10800.74513580947
65317030,65298975,9908.832308197156
65299833,65358605,8299.248975957858
302034205,11337742045,9915.909724216102
65324422,6375094234,3325.3235230194136
65313547,65348923,2835.737156601846
65304180,4087548434,4167.210289134339
65375448,65284600,3910.299869509877
258911632,5427552913,2000.5798742666982
65322667,65323653,8642.950374889162
65290902,65317569,2809.7608457198285
65296220,65303611,4251.055502671352
65306684,1501430193,2655.369229685244
65306267,1735998442,10595.122525314175
65337484,266903665,4132.027032757837
65295455,65340588,1245.0402655088428
65289320,12195577839,6142.50777466936
65336825,65311136,9739.887999607774
65292736,65304078,4505.447130277503
65355900,65329957,2160.9697470774463
65340363,315707135,4973.873197754992
4021550353,65354336,4741.899369634376
259407432,65289529,9190.633941736349
260336115,65328707,2763.8769483761957
65324911,65280502,5979.31445584872
